Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
63004727.000000,384.000000,85.000000,349638.000000,494.000000,22443690.000000,243.000000
64005063.000000,303.000000,78.000000,352348.000000,408.000000,22796446.000000,183.000000
65002581.000000,324.000000,64.000000,352983.000000,405.000000,23149834.000000,176.000000
66005589.000000,345.000000,72.000000,353795.000000,435.000000,23504064.000000,201.000000
67000039.000000,292.000000,64.000000,353441.000000,377.000000,23857882.000000,162.000000
68001432.000000,349.000000,64.000000,354977.000000,435.000000,24213294.000000,176.000000
69001352.000000,262.000000,55.000000,354240.000000,337.000000,24567871.000000,143.000000
70000633.000000,205.000000,52.000000,354038.000000,284.000000,24922193.000000,90.000000
71007190.000000,230.000000,56.000000,356559.000000,318.000000,25279070.000000,79.000000
72002039.000000,217.000000,50.000000,356060.000000,272.000000,25635402.000000,88.000000
73005518.000000,274.000000,66.000000,356661.000000,366.000000,25992429.000000,115.000000
74009109.000000,208.000000,87.000000,355540.000000,309.000000,26348278.000000,89.000000
75004367.000000,239.000000,50.000000,352622.000000,294.000000,26701194.000000,87.000000
76008405.000000,206.000000,88.000000,358105.000000,304.000000,27059603.000000,89.000000
77004870.000000,315.000000,77.000000,355272.000000,399.000000,27415274.000000,125.000000
78000750.000000,335.000000,88.000000,354005.000000,434.000000,27769713.000000,204.000000
79003773.000000,309.000000,79.000000,356993.000000,398.000000,28127104.000000,186.000000
80002040.000000,314.000000,70.000000,354353.000000,395.000000,28481852.000000,151.000000
81001658.000000,332.000000,91.000000,355355.000000,446.000000,28837653.000000,193.000000
82001267.000000,345.000000,64.000000,354601.000000,435.000000,29192689.000000,185.000000
83006517.000000,334.000000,71.000000,357200.000000,425.000000,29550314.000000,196.000000
84001827.000000,248.000000,56.000000,353821.000000,322.000000,29904457.000000,146.000000
85001242.000000,297.000000,49.000000,354767.000000,365.000000,30259589.000000,136.000000
86003618.000000,314.000000,80.000000,356852.000000,416.000000,30616857.000000,153.000000
87001255.000000,408.000000,69.000000,353382.000000,505.000000,30970744.000000,223.000000
88001821.000000,376.000000,75.000000,351806.000000,473.000000,31323023.000000,255.000000
89000597.000000,276.000000,51.000000,352238.000000,344.000000,31675605.000000,155.000000
90002055.000000,238.000000,52.000000,350090.000000,303.000000,32025998.000000,112.000000
91006399.000000,377.000000,63.000000,354118.000000,448.000000,32380564.000000,196.000000
92008311.000000,269.000000,77.000000,350486.000000,366.000000,32731416.000000,145.000000
93001486.000000,316.000000,83.000000,349742.000000,421.000000,33081579.000000,155.000000
94004272.000000,301.000000,73.000000,354190.000000,384.000000,33436153.000000,161.000000
