Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
28014846.000000,207.000000,333.000000,355449.000000,221.000000,10061633.000000,9.000000
29034561.000000,232.000000,475.000000,360004.000000,246.000000,10421883.000000,7.000000
30079600.000000,243.000000,691.000000,369431.000000,264.000000,10791578.000000,5.000000
31000441.000000,226.000000,366.000000,323493.000000,350.000000,11115421.000000,10.000000
32007975.000000,256.000000,384.000000,356086.000000,367.000000,11471874.000000,20.000000
33019235.000000,210.000000,424.000000,356600.000000,393.000000,11828867.000000,3.000000
34094820.000000,267.000000,368.000000,380428.000000,344.000000,12209639.000000,7.000000
35000100.000000,247.000000,421.000000,320913.000000,171.000000,12530723.000000,30.000000
36013360.000000,244.000000,492.000000,358708.000000,194.000000,12889625.000000,37.000000
37003230.000000,210.000000,462.000000,351641.000000,185.000000,13241451.000000,14.000000
38004594.000000,252.000000,465.000000,353063.000000,232.000000,13594746.000000,22.000000
39009094.000000,285.000000,348.000000,355931.000000,166.000000,13950843.000000,40.000000
40003896.000000,223.000000,391.000000,352527.000000,181.000000,14303551.000000,42.000000
41027190.000000,230.000000,452.000000,362847.000000,203.000000,14666601.000000,24.000000
42154730.000000,226.000000,496.000000,393568.000000,243.000000,15060412.000000,12.000000
43035584.000000,194.000000,371.000000,311730.000000,203.000000,15372345.000000,12.000000
44025607.000000,247.000000,392.000000,350499.000000,284.000000,15723128.000000,9.000000
45013241.000000,197.000000,454.000000,349921.000000,274.000000,16073323.000000,2.000000
46003334.000000,213.000000,346.000000,349529.000000,249.000000,16423101.000000,3.000000
47006352.000000,230.000000,413.000000,353937.000000,256.000000,16777294.000000,3.000000
48028833.000000,212.000000,474.000000,362951.000000,326.000000,17140571.000000,10.000000
49013249.000000,267.000000,414.000000,350885.000000,259.000000,17491715.000000,5.000000
50002637.000000,186.000000,406.000000,351415.000000,229.000000,17843359.000000,3.000000
51017194.000000,231.000000,366.000000,360512.000000,307.000000,18204178.000000,6.000000
52009299.000000,228.000000,340.000000,352834.000000,272.000000,18557284.000000,7.000000
53007379.000000,239.000000,441.000000,354188.000000,286.000000,18911758.000000,6.000000
54002440.000000,238.000000,437.000000,353647.000000,271.000000,19265676.000000,6.000000
55018837.000000,206.000000,454.000000,361259.000000,219.000000,19627154.000000,5.000000
56023326.000000,230.000000,475.000000,357690.000000,295.000000,19985139.000000,9.000000
57018380.000000,227.000000,452.000000,353410.000000,260.000000,20338809.000000,10.000000
58022051.000000,266.000000,328.000000,350806.000000,353.000000,20689968.000000,30.000000
59011014.000000,229.000000,400.000000,347002.000000,333.000000,21037303.000000,12.000000
60011794.000000,212.000000,597.000000,353527.000000,371.000000,21391201.000000,11.000000
61009956.000000,250.000000,453.000000,350795.000000,332.000000,21742328.000000,5.000000
62038150.000000,242.000000,496.000000,362355.000000,409.000000,22105092.000000,9.000000
63004727.000000,198.000000,286.000000,336815.000000,339.000000,22442246.000000,3.000000
64025917.000000,236.000000,243.000000,359888.000000,262.000000,22802396.000000,3.000000
65005206.000000,228.000000,426.000000,346573.000000,292.000000,23149261.000000,2.000000
66030786.000000,233.000000,289.000000,361930.000000,314.000000,23511505.000000,1.000000
67004644.000000,231.000000,488.000000,346244.000000,280.000000,23858029.000000,4.000000
68031284.000000,219.000000,340.000000,364034.000000,311.000000,24222374.000000,8.000000
69001352.000000,279.000000,409.000000,343769.000000,206.000000,24566349.000000,9.000000
70002899.000000,220.000000,382.000000,354958.000000,189.000000,24921496.000000,34.000000
71080472.000000,243.000000,530.000000,381856.000000,197.000000,25303549.000000,28.000000
72062792.000000,213.000000,362.000000,352114.000000,177.000000,25655840.000000,19.000000
73007746.000000,289.000000,628.000000,335631.000000,249.000000,25991720.000000,30.000000
74022894.000000,241.000000,302.000000,359758.000000,155.000000,26351633.000000,40.000000
75004253.000000,221.000000,375.000000,347791.000000,201.000000,26699625.000000,27.000000
76060514.000000,230.000000,505.000000,377050.000000,189.000000,27076864.000000,18.000000
77007196.000000,210.000000,268.000000,337441.000000,258.000000,27414563.000000,14.000000
78039884.000000,235.000000,306.000000,367146.000000,300.000000,27782009.000000,15.000000
79012595.000000,220.000000,421.000000,346473.000000,239.000000,28128721.000000,10.000000
80015969.000000,263.000000,523.000000,356207.000000,276.000000,28485204.000000,9.000000
