Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
53003019.000000,90.000000,8.000000,349987.000000,496.000000,18911493.000000,7.000000
54013217.000000,86.000000,7.000000,358903.000000,477.000000,19270873.000000,12.000000
55021262.000000,93.000000,7.000000,358043.000000,403.000000,19629319.000000,8.000000
56006188.000000,82.000000,10.000000,350440.000000,494.000000,19980253.000000,13.000000
57005070.000000,85.000000,12.000000,355059.000000,443.000000,20335755.000000,6.000000
58008156.000000,110.000000,9.000000,350100.000000,558.000000,20686413.000000,11.000000
59004060.000000,99.000000,12.000000,349298.000000,519.000000,21036230.000000,21.000000
60004805.000000,106.000000,9.000000,353330.000000,574.000000,21390134.000000,18.000000
61005245.000000,100.000000,7.000000,351478.000000,518.000000,21742130.000000,17.000000
62001688.000000,112.000000,9.000000,350928.000000,555.000000,22093613.000000,18.000000
63009270.000000,91.000000,12.000000,351156.000000,573.000000,22445342.000000,19.000000
64007389.000000,90.000000,10.000000,351490.000000,487.000000,22797319.000000,8.000000
65012141.000000,95.000000,6.000000,355358.000000,489.000000,23153166.000000,14.000000
66007942.000000,95.000000,8.000000,351264.000000,499.000000,23504929.000000,17.000000
67000039.000000,106.000000,6.000000,352516.000000,448.000000,23857893.000000,15.000000
68006046.000000,97.000000,6.000000,356526.000000,519.000000,24214938.000000,20.000000
69001352.000000,91.000000,6.000000,352541.000000,413.000000,24567892.000000,11.000000
70007451.000000,77.000000,10.000000,356370.000000,347.000000,24924609.000000,8.000000
71016324.000000,76.000000,9.000000,357315.000000,362.000000,25282286.000000,6.000000
72023776.000000,79.000000,9.000000,360566.000000,337.000000,25643189.000000,8.000000
73000935.000000,89.000000,8.000000,347149.000000,423.000000,25990761.000000,6.000000
74013729.000000,75.000000,7.000000,358703.000000,372.000000,26349836.000000,10.000000
75004253.000000,76.000000,12.000000,350859.000000,349.000000,26701044.000000,5.000000
76012764.000000,82.000000,11.000000,359707.000000,341.000000,27061092.000000,6.000000
77016347.000000,86.000000,12.000000,357712.000000,452.000000,27419256.000000,7.000000
78026085.000000,78.000000,10.000000,358859.000000,477.000000,27778592.000000,12.000000
79003799.000000,78.000000,8.000000,347988.000000,421.000000,28127001.000000,8.000000
80020469.000000,89.000000,12.000000,360761.000000,472.000000,28488234.000000,5.000000
81006020.000000,81.000000,17.000000,350393.000000,444.000000,28839071.000000,6.000000
82007800.000000,86.000000,16.000000,355341.000000,500.000000,29194912.000000,3.000000
83010882.000000,91.000000,9.000000,356414.000000,450.000000,29551776.000000,9.000000
84015604.000000,82.000000,6.000000,357023.000000,402.000000,29909201.000000,8.000000
