Instruction,pfIssued,pfInCache,overallMisses,overallHits,overallAccesses,unusedPrefetches
32000958.000000,452.000000,13.000000,353538.000000,428.000000,11469795.000000,249.000000
33003139.000000,475.000000,13.000000,353274.000000,471.000000,11823540.000000,288.000000
34012467.000000,409.000000,22.000000,356861.000000,423.000000,12180824.000000,246.000000
35000100.000000,235.000000,19.000000,350090.000000,238.000000,12531152.000000,120.000000
36004128.000000,246.000000,19.000000,355398.000000,258.000000,12886808.000000,83.000000
37001014.000000,250.000000,25.000000,354105.000000,263.000000,13241176.000000,90.000000
38002307.000000,290.000000,21.000000,353110.000000,303.000000,13594589.000000,97.000000
39004455.000000,253.000000,8.000000,354998.000000,252.000000,13949839.000000,108.000000
40003755.000000,239.000000,21.000000,354029.000000,268.000000,14304136.000000,81.000000
41002056.000000,258.000000,22.000000,353941.000000,281.000000,14658358.000000,83.000000
42007595.000000,259.000000,18.000000,350328.000000,276.000000,15008962.000000,96.000000
43001050.000000,302.000000,18.000000,351529.000000,339.000000,15360830.000000,119.000000
44002623.000000,307.000000,23.000000,354499.000000,385.000000,15715714.000000,141.000000
45006168.000000,335.000000,18.000000,355464.000000,351.000000,16071529.000000,129.000000
46000923.000000,310.000000,17.000000,351096.000000,341.000000,16422966.000000,161.000000
47001732.000000,298.000000,28.000000,353084.000000,347.000000,16776397.000000,124.000000
48000703.000000,343.000000,30.000000,354324.000000,395.000000,17131116.000000,175.000000
49006333.000000,295.000000,17.000000,358538.000000,345.000000,17489999.000000,125.000000
50000335.000000,255.000000,33.000000,352954.000000,313.000000,17843266.000000,80.000000
51005771.000000,313.000000,36.000000,357222.000000,377.000000,18200865.000000,118.000000
52002279.000000,308.000000,45.000000,354358.000000,356.000000,18555579.000000,114.000000
53003019.000000,360.000000,30.000000,355008.000000,389.000000,18910976.000000,163.000000
54002440.000000,286.000000,32.000000,355132.000000,363.000000,19266471.000000,150.000000
55002811.000000,267.000000,22.000000,355495.000000,287.000000,19622253.000000,76.000000
56003992.000000,262.000000,37.000000,356284.000000,371.000000,19978908.000000,106.000000
57000146.000000,264.000000,16.000000,354266.000000,325.000000,20333499.000000,81.000000
58008130.000000,447.000000,25.000000,351882.000000,441.000000,20685822.000000,203.000000
59001820.000000,398.000000,19.000000,348629.000000,406.000000,21034857.000000,209.000000
60000163.000000,432.000000,18.000000,352633.000000,434.000000,21387924.000000,234.000000
61000572.000000,394.000000,12.000000,351575.000000,417.000000,21739916.000000,249.000000
62001555.000000,454.000000,20.000000,352556.000000,465.000000,22092937.000000,241.000000
63004809.000000,428.000000,16.000000,349751.000000,438.000000,22443126.000000,262.000000
64002795.000000,338.000000,14.000000,351553.000000,372.000000,22795051.000000,186.000000
65009842.000000,372.000000,10.000000,356329.000000,371.000000,23151751.000000,178.000000
66003317.000000,382.000000,12.000000,350544.000000,384.000000,23502679.000000,215.000000
67000039.000000,344.000000,18.000000,354259.000000,340.000000,23857278.000000,170.000000
68001432.000000,399.000000,11.000000,355056.000000,396.000000,24212730.000000,191.000000
69008167.000000,301.000000,14.000000,356724.000000,300.000000,24569754.000000,157.000000
70000633.000000,245.000000,18.000000,351716.000000,240.000000,24921710.000000,105.000000
71007190.000000,269.000000,20.000000,356601.000000,276.000000,25278587.000000,83.000000
72004187.000000,246.000000,22.000000,356897.000000,241.000000,25635725.000000,88.000000
73005518.000000,305.000000,13.000000,355961.000000,320.000000,25992006.000000,120.000000
74009109.000000,243.000000,19.000000,355587.000000,263.000000,26347856.000000,93.000000
75008837.000000,268.000000,28.000000,354246.000000,267.000000,26702369.000000,89.000000
76008405.000000,238.000000,24.000000,356628.000000,249.000000,27059246.000000,89.000000
77004870.000000,354.000000,9.000000,355316.000000,356.000000,27414918.000000,134.000000
78003077.000000,320.000000,23.000000,354894.000000,374.000000,27770186.000000,166.000000
79003773.000000,256.000000,45.000000,356291.000000,317.000000,28126794.000000,104.000000
80002040.000000,282.000000,29.000000,354408.000000,342.000000,28481544.000000,91.000000
81001658.000000,268.000000,53.000000,355442.000000,340.000000,28837326.000000,90.000000
82001267.000000,359.000000,31.000000,354654.000000,389.000000,29192369.000000,122.000000
83002115.000000,324.000000,17.000000,355679.000000,371.000000,29548419.000000,188.000000
84006406.000000,242.000000,21.000000,357013.000000,283.000000,29905715.000000,93.000000
85001242.000000,277.000000,25.000000,353197.000000,322.000000,30259234.000000,87.000000
86003618.000000,259.000000,29.000000,356919.000000,349.000000,30616502.000000,92.000000
87001231.000000,423.000000,22.000000,353437.000000,466.000000,30970405.000000,149.000000
88001821.000000,423.000000,20.000000,351792.000000,461.000000,31322658.000000,277.000000
89000593.000000,297.000000,13.000000,352232.000000,309.000000,31675199.000000,154.000000
90002055.000000,263.000000,21.000000,350125.000000,285.000000,32025609.000000,102.000000
91006399.000000,347.000000,26.000000,354151.000000,396.000000,32380156.000000,148.000000
92008311.000000,283.000000,17.000000,350499.000000,308.000000,32730963.000000,122.000000
93003665.000000,351.000000,11.000000,350596.000000,346.000000,33081905.000000,139.000000
94004272.000000,295.000000,28.000000,353496.000000,337.000000,33435738.000000,145.000000
95010168.000000,267.000000,20.000000,353444.000000,313.000000,33789495.000000,110.000000
96000786.000000,290.000000,20.000000,348168.000000,364.000000,34138027.000000,101.000000
97000377.000000,398.000000,13.000000,350548.000000,403.000000,34488978.000000,164.000000
98001128.000000,382.000000,16.000000,352102.000000,409.000000,34841489.000000,220.000000
99000862.000000,399.000000,20.000000,351233.000000,426.000000,35193148.000000,211.000000
100000567.000000,392.000000,17.000000,353812.000000,461.000000,35547421.000000,221.000000
101001269.000000,387.000000,10.000000,354522.000000,387.000000,35902330.000000,196.000000
102001377.000000,387.000000,13.000000,351908.000000,382.000000,36254620.000000,199.000000
103005868.000000,364.000000,21.000000,347802.000000,388.000000,36602810.000000,194.000000
104000058.000000,355.000000,16.000000,349950.000000,381.000000,36953141.000000,193.000000
105000530.000000,490.000000,28.000000,353285.000000,507.000000,37306933.000000,264.000000
106002005.000000,422.000000,14.000000,352627.000000,456.000000,37660016.000000,259.000000
